                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.55634,                0.92395,                 1.1851,                0.73571,                0.65555,                0.72246,                0.62467,                 0.5645,                0.95614,                 1.1235,             0.00011648,             0.00011648,             0.00011648
                     83,                0.54848,                0.92626,                 1.1769,                0.75296,                0.64643,                0.72608,                0.62708,                0.55125,                0.94906,                 1.1182,             0.00011066,             0.00011066,             0.00011066
                     84,                0.55603,                0.93163,                 1.1792,                 0.7378,                0.65699,                  0.721,                0.62273,                0.55741,                0.95609,                 1.1242,             0.00010484,             0.00010484,             0.00010484
                     85,                0.54786,                0.91885,                 1.1759,                0.74218,                0.65336,                0.72189,                0.62327,                0.55145,                0.95441,                 1.1183,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.54109,                0.91363,                 1.1703,                0.73345,                 0.6638,                0.72537,                0.62713,                0.55068,                0.94125,                 1.1152,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                0.53973,                0.91302,                 1.1686,                0.75187,                0.64781,                0.72538,                0.62809,                0.54949,                0.94457,                 1.1199,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                 0.5414,                0.91995,                   1.17,                0.73757,                0.66074,                0.72425,                 0.6276,                0.55073,                0.94157,                 1.1167,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.54598,                0.91028,                 1.1746,                0.73933,                 0.6541,                0.72337,                0.62774,                0.54831,                0.94727,                 1.1153,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.54806,                0.92238,                 1.1753,                0.73961,                0.65608,                0.72359,                0.62877,                0.54227,                 0.9437,                 1.1088,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.47373,                0.96193,                 1.1272,                0.73655,                0.65322,                0.71891,                 0.6225,                0.55574,                0.96182,                  1.123,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.45655,                  0.886,                 1.1178,                0.73501,                0.65828,                0.72189,                0.62839,                0.54265,                 0.9444,                 1.1109,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                0.44937,                0.86523,                 1.1056,                0.74601,                0.65869,                0.72651,                0.63175,                0.54125,                0.93726,                 1.1109,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.44279,                0.85418,                 1.1052,                0.74112,                 0.6651,                0.72602,                0.63043,                0.54378,                0.93968,                 1.1122,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                0.44368,                0.85989,                 1.1098,                 0.7378,                0.66538,                0.72747,                 0.6329,                0.54178,                 0.9318,                 1.1113,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.43763,                0.84542,                  1.104,                 0.7446,                0.65977,                0.72854,                0.63595,                0.53168,                0.92724,                 1.1035,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                 0.4352,                0.84343,                 1.0967,                0.75089,                0.65371,                0.72774,                0.63472,                 0.5347,                0.93159,                 1.1046,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.43306,                0.83999,                 1.0994,                0.74026,                0.66838,                0.73118,                 0.6379,                0.53318,                0.92713,                 1.1032,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                 0.4253,                0.84052,                 1.0893,                0.74167,                0.66509,                0.73007,                 0.6361,                0.53808,                0.92891,                 1.1067,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.42401,                0.82722,                 1.0871,                0.73639,                0.66531,                0.72839,                0.63601,                0.53189,                0.92613,                 1.1025,             1.1701e-05,             1.1701e-05,             1.1701e-05
